centroid_mean_cosine,centroid_mean_l2,cov_principal_angle_deg,dataset,domain_clf_linear_acc,domain_clf_mlp_acc,drift_severity_score,experiment,mmd_global,pair,prior_kl_div,summary
,,,office_har_data,,,,exp19,,all,,"{""D1"": {""mean_abs_corr"": 0.4796, ""n_high_corr_pairs"": 379}, ""D2"": {""mean_abs_corr"": 0.5253, ""n_high_corr_pairs"": 432}, ""D3"": {""mean_abs_corr"": 0.5084, ""n_high_corr_pairs"": 416}}"
,,,office_har_data,,,,exp20,,all,,"{""D1"": {""fisher"": 8.5546, ""silhouette"": 0.7813, ""davies_bouldin"": 0.3918}, ""D2"": {""fisher"": 4.7898, ""silhouette"": 0.6899, ""davies_bouldin"": 0.445}, ""D3"": {""fisher"": 8.201, ""silhouette"": 0.5043, ""davies_bouldin"": 0.9153}}"
,,,office_har_data,,,,exp21,,all,,"{""D1"": {""cluster_purity"": 0.9624}, ""D2"": {""cluster_purity"": 0.927}, ""D3"": {""cluster_purity"": 0.8283}}"
,,,office_har_data,,,,exp22,,all,,"{""D1"": {""within_var"": 0.0257, ""between_var"": 24.8074, ""snr"": 966.6658}, ""D2"": {""within_var"": 0.0461, ""between_var"": 24.957, ""snr"": 541.2514}, ""D3"": {""within_var"": 0.0313, ""between_var"": 29.5146, ""snr"": 943.1175}}"
,,,office_har_data,,,0.3044,drift_score,,all,,"{""score"": 0.3044, ""norm_mmd"": 0.1029, ""norm_domain_acc"": 0.5504, ""norm_angle"": 0.2884, ""norm_centroid"": 0.2758}"
0.9642,1.7723,22.64,office_localization_data,0.7824,0.8507,,pairwise,0.021818,D1->D2,0.0,
1.0,0.0,0.01,office_localization_data,0.4336,0.4686,,pairwise,-0.001546,D2->D3,0.0,
0.9642,1.7723,22.64,office_localization_data,0.7824,0.8507,,pairwise,0.029904,D1->D3,0.0,
,,,office_localization_data,,,,exp11,,all,,"{""mmd12"": 0.013733, ""mmd23"": -0.003286, ""mmd13"": 0.014338, ""mmd_acceleration"": 0.000605, ""speed12"": 0.784, ""speed23"": 0.0, ""centroid_acceleration"": 0.784, ""direction_cosine"": 0.0, ""interpretation"": ""Drift speed is roughly constant""}"
,,,office_localization_data,,,,exp12,,all,,"{""mean_var"": {""D1"": 0.5267, ""D2"": 0.4963, ""D3"": 0.4963}, ""n_unstable"": 0, ""unstable_features"": []}"
,,,office_localization_data,,,,exp13,,all,,"{""sig_counts"": {""D1-D2"": 64, ""D2-D3"": 0, ""D1-D3"": 64}, ""mean_ks"": {""D1-D2"": 0.1635, ""D2-D3"": 0.0, ""D1-D3"": 0.1635}}"
,,,office_localization_data,,,,exp14,,all,,"{""fisher"": {""D1"": 21.8293, ""D2"": 1.3677, ""D3"": 1.3677}, ""margins"": {""D1"": 65.6127, ""D2"": 20.714, ""D3"": 20.714}}"
,,,office_localization_data,,,,exp15,,all,,"{""D1"": {""participation_ratio"": 2.75, ""effective_dim_95"": 3, ""cum_var_10"": 0.9997, ""cum_var_20"": 1.0}, ""D2"": {""participation_ratio"": 3.1, ""effective_dim_95"": 3, ""cum_var_10"": 0.9989, ""cum_var_20"": 0.9998}, ""D3"": {""participation_ratio"": 3.1, ""effective_dim_95"": 3, ""cum_var_10"": 0.9989, ""cum_var_20"": 0.9998}}"
,,,office_localization_data,,,,exp16,,all,,"{""D1->D2"": {""accuracy"": 0.8637}, ""D1->D3"": {""accuracy"": 0.8637}}"
,,,office_localization_data,,,,exp17,,all,,"{""per_class"": {""empty"": {""cos12"": 0.9988, ""cos23"": 1.0, ""cos13"": 0.9988}, ""five"": {""cos12"": 0.9995, ""cos23"": 1.0, ""cos13"": 0.9995}, ""one"": {""cos12"": 0.9212, ""cos23"": 1.0, ""cos13"": 0.9212}, ""two"": {""cos12"": 0.9375, ""cos23"": 1.0, ""cos13"": 0.9375}}, ""global"": {""cos12"": 0.9793, ""cos23"": 1.0, ""cos13"": 0.9793}, ""mean_stability"": 0.9642}"
,,,office_localization_data,,,,exp18,,all,,"{""D1"": {""participation_ratio"": 2.75, ""pca_95"": 3, ""mle_dimension"": 2.27}, ""D2"": {""participation_ratio"": 3.1, ""pca_95"": 3, ""mle_dimension"": 2.28}, ""D3"": {""participation_ratio"": 3.1, ""pca_95"": 3, ""mle_dimension"": 2.26}}"
,,,office_localization_data,,,,exp19,,all,,"{""D1"": {""mean_abs_corr"": 0.4982, ""n_high_corr_pairs"": 424}, ""D2"": {""mean_abs_corr"": 0.4679, ""n_high_corr_pairs"": 383}, ""D3"": {""mean_abs_corr"": 0.4679, ""n_high_corr_pairs"": 383}}"
,,,office_localization_data,,,,exp20,,all,,"{""D1"": {""fisher"": 21.8293, ""silhouette"": 0.876, ""davies_bouldin"": 0.2413}, ""D2"": {""fisher"": 1.3677, ""silhouette"": 0.5471, ""davies_bouldin"": 1.0841}, ""D3"": {""fisher"": 1.3677, ""silhouette"": 0.5471, ""davies_bouldin"": 1.0841}}"
,,,office_localization_data,,,,exp21,,all,,"{""D1"": {""cluster_purity"": 0.9985}, ""D2"": {""cluster_purity"": 0.8175}, ""D3"": {""cluster_purity"": 0.8175}}"
,,,office_localization_data,,,,exp22,,all,,"{""D1"": {""within_var"": 0.003, ""between_var"": 32.2317, ""snr"": 10892.7734}, ""D2"": {""within_var"": 0.0636, ""between_var"": 18.3476, ""snr"": 288.5934}, ""D3"": {""within_var"": 0.0636, ""between_var"": 18.3476, ""snr"": 288.5934}}"
,,,office_localization_data,,,0.2633,drift_score,,all,,"{""score"": 0.2633, ""norm_mmd"": 0.0598, ""norm_domain_acc"": 0.5648, ""norm_angle"": 0.2516, ""norm_centroid"": 0.1772}"
