dataset,window_len,pipeline,model,fold,seed,accuracy,balanced_accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,precision_macro,recall_macro,cohen_kappa,mcc,ece,log_loss,mean_confidence,std_confidence,mean_entropy,std_entropy,data_load_time_s,train_cpu_s,train_wall_s,infer_wall_s,model_size_mb,train_samples,test_samples,n_features
home_occupation_data,500,rolling_variance,XGBoost,-1,42,0.9866,0.9866,0.9866,0.9866,0.9866,0.9866,0.9866,0.9866,0.9799,0.9799,0.0264,0.0614,0.9602,0.0839,0.1221,0.1845,976.358,1592.531,349.396,0.2252,0.32,1794,897,26000
office_har_data,1000,amplitude,RandomForest,-1,42,0.8,0.7984,0.7803,0.7549,0.8722,0.8,0.8349,0.7984,0.734,0.7654,0.0874,0.5553,0.8874,0.1426,0.3042,0.2838,1211.875,11.562,3.617,1.1095,0.4,324,120,52000
office_har_data,1000,amplitude,XGBoost,-1,42,0.8,0.7984,0.7781,0.7544,0.8663,0.8,0.8317,0.7984,0.7336,0.7635,0.1362,0.8724,0.9362,0.119,0.1972,0.2719,1211.875,1235.281,256.504,0.1527,0.32,324,120,52000
office_har_data,1000,amplitude_phase,RandomForest,-1,42,0.7917,0.7919,0.7712,0.7485,0.8437,0.7917,0.8091,0.7919,0.7227,0.7506,0.0855,0.8498,0.8771,0.1344,0.336,0.2623,666.581,15.094,5.177,1.4329,0.4,324,120,104000
office_har_data,1000,amplitude_phase,XGBoost,-1,42,0.8,0.7984,0.7781,0.7544,0.8663,0.8,0.8317,0.7984,0.7336,0.7635,0.1515,0.8968,0.9331,0.1239,0.2092,0.2967,666.581,2338.766,604.323,0.5667,0.32,324,120,104000
office_har_data,1000,amplitude_sanitized,RandomForest,-1,42,0.7917,0.7919,0.7712,0.7485,0.8437,0.7917,0.8091,0.7919,0.7227,0.7506,0.084,0.5712,0.8756,0.1358,0.3392,0.2626,8947.732,14.312,4.807,1.1384,0.4,324,120,104000
office_har_data,1000,amplitude_sanitized,XGBoost,-1,42,0.8167,0.8167,0.7928,0.7688,0.9044,0.8167,0.8688,0.8167,0.756,0.7901,0.1302,0.8415,0.9405,0.1097,0.193,0.2681,8947.732,2417.531,625.519,0.8794,0.32,324,120,104000
office_har_data,1000,rolling_variance,RandomForest,-1,42,0.925,0.933,0.9252,0.9226,0.9312,0.925,0.9184,0.933,0.8992,0.9012,0.3302,1.9342,0.6788,0.1171,0.768,0.2383,1068.899,10.547,2.696,0.5422,0.92,324,120,52000
office_har_data,1000,rolling_variance,XGBoost,-1,42,0.9083,0.9147,0.909,0.9033,0.9186,0.9083,0.9006,0.9147,0.8771,0.8801,0.082,0.4738,0.9096,0.1273,0.274,0.2712,1068.899,1572.812,407.826,0.4552,0.36,324,120,52000
office_har_data,2000,amplitude,RandomForest,-1,42,0.8167,0.8167,0.7899,0.7707,0.8969,0.8167,0.8685,0.8167,0.7559,0.7886,0.1337,1.2402,0.773,0.1734,0.494,0.2918,905.675,5.812,3.403,0.7629,0.28,160,60,104000
office_har_data,2000,amplitude,XGBoost,-1,42,0.8333,0.8333,0.8137,0.796,0.9017,0.8333,0.875,0.8333,0.7778,0.8051,0.1254,0.6976,0.9236,0.1072,0.2648,0.2544,905.675,828.641,217.994,0.282,0.3,160,60,104000
office_har_data,2000,amplitude_phase,RandomForest,-1,42,0.8167,0.8167,0.7899,0.7707,0.8969,0.8167,0.8685,0.8167,0.7559,0.7886,0.0918,1.6484,0.8543,0.1455,0.3935,0.2876,1391.611,6.297,2.682,0.632,0.27,160,60,208000
office_har_data,2000,amplitude_phase,XGBoost,-1,42,0.8,0.8035,0.7736,0.7579,0.881,0.8,0.856,0.8035,0.7337,0.7655,0.1371,0.7458,0.9142,0.1486,0.2674,0.3095,1391.611,2634.703,300.063,0.4197,0.3,160,60,208000
office_har_data,2000,amplitude_sanitized,RandomForest,-1,42,0.8167,0.8167,0.7899,0.7707,0.8969,0.8167,0.8685,0.8167,0.7559,0.7886,0.1005,1.6444,0.852,0.1441,0.4034,0.2803,2729.779,6.062,2.471,0.6986,0.27,160,60,208000
office_har_data,2000,amplitude_sanitized,XGBoost,-1,42,0.8167,0.8167,0.7899,0.7707,0.8969,0.8167,0.8685,0.8167,0.7559,0.7886,0.1245,0.7256,0.9224,0.1295,0.2502,0.2908,2729.779,2963.156,367.354,0.7662,0.3,160,60,208000
office_har_data,2000,rolling_variance,RandomForest,-1,42,0.9333,0.9343,0.9338,0.9288,0.9372,0.9333,0.926,0.9343,0.9104,0.9115,0.3349,1.6569,0.6599,0.1551,0.7967,0.2972,423.412,7.141,2.516,0.3697,0.51,160,60,104000
office_har_data,2000,rolling_variance,XGBoost,-1,42,0.8167,0.8211,0.8135,0.8018,0.8487,0.8167,0.8252,0.8211,0.7556,0.7669,0.102,0.5739,0.833,0.1641,0.464,0.3589,423.412,2471.766,247.559,0.2352,0.32,160,60,104000
office_har_data,500,amplitude,RandomForest,-1,42,0.8151,0.8147,0.796,0.7701,0.9066,0.8151,0.8673,0.8147,0.7543,0.7879,0.0973,0.5875,0.9125,0.1257,0.2456,0.26,429.259,11.047,2.876,0.7814,0.51,652,238,26000
office_har_data,500,amplitude,XGBoost,-1,42,0.8193,0.8189,0.7948,0.7755,0.8892,0.8193,0.8598,0.8189,0.7583,0.7862,0.1438,0.8105,0.9631,0.0922,0.1179,0.2061,429.259,819.297,193.534,0.1025,0.34,652,238,26000
office_har_data,500,amplitude_phase,RandomForest,-1,42,0.8109,0.8106,0.7899,0.7637,0.9056,0.8109,0.8658,0.8106,0.7488,0.7839,0.091,0.5918,0.8963,0.1232,0.291,0.2446,1307.214,24.078,5.651,1.3924,0.59,652,238,52000
office_har_data,500,amplitude_phase,XGBoost,-1,42,0.8193,0.8189,0.7948,0.7755,0.8892,0.8193,0.8598,0.8189,0.7583,0.7862,0.1423,0.8208,0.9616,0.096,0.1224,0.2113,1307.214,1789.188,470.145,0.1521,0.34,652,238,52000
office_har_data,500,amplitude_sanitized,RandomForest,-1,42,0.8151,0.8147,0.796,0.7701,0.9066,0.8151,0.8673,0.8147,0.7543,0.7879,0.0938,0.5969,0.8928,0.1246,0.2954,0.2468,9629.644,22.859,5.674,1.304,0.59,652,238,52000
office_har_data,500,amplitude_sanitized,XGBoost,-1,42,0.8235,0.8231,0.8045,0.782,0.9001,0.8235,0.8659,0.8231,0.7646,0.7935,0.144,0.7695,0.9623,0.0998,0.1177,0.2181,9629.644,1938.922,452.528,0.1648,0.34,652,238,52000
office_har_data,500,rolling_variance,RandomForest,-1,42,0.9034,0.9132,0.9046,0.899,0.9181,0.9034,0.8978,0.9132,0.8706,0.8747,0.2101,0.6274,0.7042,0.105,0.73,0.1989,976.358,24.844,4.286,0.838,1.69,652,238,26000
office_har_data,500,rolling_variance,XGBoost,-1,42,0.9034,0.9132,0.9042,0.9002,0.916,0.9034,0.8991,0.9132,0.8704,0.8741,0.0493,0.5343,0.9161,0.101,0.2703,0.2121,976.358,1498.547,283.537,0.1286,0.41,652,238,26000
office_localization_data,1000,amplitude,RandomForest,-1,42,0.9002,0.915,0.8948,0.8948,0.9129,0.9002,0.8975,0.915,0.864,0.871,0.0582,2.3789,0.9211,0.1456,0.1769,0.2881,1211.875,12.172,3.638,2.0216,0.19,596,511,52000
office_localization_data,1000,amplitude,XGBoost,-1,42,0.9041,0.9137,0.9022,0.8911,0.9178,0.9041,0.8888,0.9137,0.8697,0.8749,0.121,0.5684,0.9283,0.1673,0.1524,0.2988,1211.875,988.219,275.21,0.1695,0.3,596,511,52000
office_localization_data,1000,amplitude_phase,RandomForest,-1,42,0.8943,0.9099,0.8893,0.8891,0.9079,0.8943,0.8918,0.9099,0.856,0.863,0.0645,2.4403,0.9171,0.1529,0.1787,0.2921,666.581,18.484,7.404,4.1495,0.19,596,511,104000
office_localization_data,1000,amplitude_phase,XGBoost,-1,42,0.9041,0.9137,0.9022,0.8911,0.9178,0.9041,0.8888,0.9137,0.8697,0.8749,0.121,0.5684,0.9283,0.1673,0.1524,0.2988,666.581,2142.391,632.967,1.2273,0.3,596,511,104000
