dataset,window_len,pipeline,model,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,cohen_kappa_mean,cohen_kappa_std,mcc_mean,mcc_std,ece_mean,ece_std,log_loss_mean,log_loss_std,mean_confidence_mean,mean_confidence_std,std_confidence_mean,std_confidence_std,mean_entropy_mean,mean_entropy_std,std_entropy_mean,std_entropy_std
home_har_data,wl500,amplitude_sanitized,XGBoost,1,0.274,0.0,0.274,0.0,0.2347,0.0,0.2347,0.0,0.2123,0.0,0.274,0.0,0.2123,0.0,0.274,0.0,0.153,0.0,0.1566,0.0,0.3635,0.0,3.019,0.0,0.6375,0.0,0.1701,0.0,0.978,0.0,0.3332,0.0
home_har_data,wl500,rolling_variance,RandomForest,1,0.4627,0.0,0.4627,0.0,0.3892,0.0,0.3892,0.0,0.3557,0.0,0.4627,0.0,0.3557,0.0,0.4627,0.0,0.3732,0.0,0.3924,0.0,0.2063,0.0,4.3058,0.0,0.4623,0.0,0.1633,0.0,1.3278,0.0,0.3404,0.0
home_har_data,wl500,rolling_variance,XGBoost,1,0.4448,0.0,0.4448,0.0,0.3777,0.0,0.3777,0.0,0.3486,0.0,0.4448,0.0,0.3486,0.0,0.4448,0.0,0.3523,0.0,0.3712,0.0,0.1973,0.0,2.4828,0.0,0.6374,0.0,0.211,0.0,0.951,0.0,0.4471,0.0
home_occupation_data,wl1000,amplitude,RandomForest,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0074,0.0,0.0078,0.0,0.9926,0.0,0.0248,0.0,0.0299,0.0,0.0748,0.0
home_occupation_data,wl1000,amplitude,XGBoost,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0033,0.0,0.0034,0.0,0.9967,0.0,0.0099,0.0,0.0209,0.0,0.0315,0.0
home_occupation_data,wl1000,amplitude_phase,RandomForest,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0129,0.0,0.0133,0.0,0.9871,0.0,0.0251,0.0,0.0579,0.0,0.0827,0.0
home_occupation_data,wl1000,amplitude_phase,XGBoost,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0033,0.0,0.0034,0.0,0.9967,0.0,0.0105,0.0,0.0206,0.0,0.0317,0.0
home_occupation_data,wl1000,amplitude_sanitized,RandomForest,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0112,0.0,0.0116,0.0,0.9888,0.0,0.0241,0.0,0.0503,0.0,0.0786,0.0
home_occupation_data,wl1000,amplitude_sanitized,XGBoost,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0045,0.0,0.0047,0.0,0.9955,0.0,0.0159,0.0,0.026,0.0,0.0388,0.0
home_occupation_data,wl1000,rolling_variance,RandomForest,1,0.9732,0.0,0.9732,0.0,0.9732,0.0,0.9732,0.0,0.9734,0.0,0.9732,0.0,0.9734,0.0,0.9732,0.0,0.9597,0.0,0.9598,0.0,0.1788,0.0,0.2597,0.0,0.7943,0.0,0.158,0.0,0.5161,0.0,0.284,0.0
